,Date,Department,Category,CustomerCode,Price,Quantity
3259,2015-02-03,Sides,Roll,CWM11331L8O,5.0,17.0
3260,2014-07-12,Entrees,Beef and Broccoli,CWM11331L8O,28.0,13.0
3261,2014-01-14,Entrees,Beef and Broccoli,CWM11331L8O,16.0,10.0
3262,2016-07-18,Sides,Yogurt,CWM11331L8O,12.0,7.0
3263,2016-09-03,Kabobs,Chicken,CWM11331L8O,33.0,10.0
3264,2014-03-05,Sides,Rice,CWM11331L8O,9.0,6.0
3265,2016-01-21,Kabobs,Chicken,CWM11331L8O,33.0,14.0
3266,2016-02-04,Sides,Yogurt,CWM11331L8O,12.0,17.0
3267,2014-11-11,Sides,Yogurt,CWM11331L8O,12.0,19.0
3268,2016-02-14,Kabobs,Beef,CWM11331L8O,25.0,10.0
3269,2015-04-12,Kabobs,Lamb,CWM11331L8O,28.0,13.0
3270,2014-11-20,Kabobs,Chicken,CWM11331L8O,33.0,15.0
3271,2015-10-17,Kabobs,Chicken,CWM11331L8O,33.0,5.0
3272,2015-08-10,Entrees,Lamb Chops,CWM11331L8O,18.0,5.0
3273,2014-07-01,Sides,Yogurt,CWM11331L8O,12.0,6.0
3274,2014-10-01,Kabobs,Beef,CWM11331L8O,25.0,13.0
3275,2016-12-22,Entrees,Lamb Chops,CWM11331L8O,24.0,9.0
3276,2016-05-16,Kabobs,Chicken,CWM11331L8O,33.0,14.0
3277,2016-04-21,Kabobs,Chicken,CWM11331L8O,33.0,14.0
3278,2014-03-11,Kabobs,Beef,CWM11331L8O,25.0,8.0
3279,2014-04-17,Kabobs,Chicken,CWM11331L8O,33.0,19.0
3280,2016-03-01,Sides,Yogurt,CWM11331L8O,12.0,13.0
3281,2016-10-11,Kabobs,Chicken,CWM11331L8O,33.0,7.0
3282,2015-12-17,Kabobs,Pork,CWM11331L8O,28.0,8.0
3283,2015-05-23,Kabobs,Beef,CWM11331L8O,25.0,12.0
3284,2014-05-06,Kabobs,Beef,CWM11331L8O,25.0,10.0
3286,2015-12-05,Entrees,Lamb Chops,CWM11331L8O,32.0,16.0
3287,2014-06-08,Entrees,Lamb Chops,CWM11331L8O,15.0,16.0
3288,2016-09-03,Kabobs,Beef,CWM11331L8O,28.0,12.0
3289,2016-05-26,Kabobs,Beef,CD593822G6,28.0,14.0
3290,2015-08-09,Sides,Roll,CPK60281DF,5.0,20.0
3291,2017-03-11,Sides,Chips,CWM11331L8O,8.0,6.0
3292,2014-11-15,Kabobs,Chicken,CWM11331L8O,33.0,15.0
3293,2016-06-21,Kabobs,Chicken,CZI9550AV0,33.0,3.0
